date,home_team,away_team,winner,first_shooter
2019-06-07,208,132,208,-1
2019-06-08,318,282,318,-1
2019-06-09,219,298,298,298
2019-06-27,32,173,32,173
2019-06-28,50,46,46,50
2019-06-29,142,53,142,142
2019-06-29,242,174,174,242
2019-07-05,149,24,24,24
2019-07-07,131,59,131,131
2019-07-08,83,230,230,83
2019-07-11,109,4,4,4
2019-07-28,140,340,340,-1
2019-09-08,223,38,223,223
2019-10-13,45,124,45,-1
2019-10-13,80,61,80,-1
2020-10-08,29,329,329,29
2020-10-08,204,105,204,204
2020-10-08,293,107,293,293
2020-11-12,198,293,293,293
2021-06-03,142,53,142,142
2021-06-06,97,53,97,53
2021-06-28,75,219,219,219
2021-07-02,174,173,174,173
2021-07-02,219,212,212,212
2021-07-03,242,50,50,50
2021-07-06,108,212,108,108
2021-07-06,229,76,229,76
2021-07-06,11,50,11,50
2021-07-06,90,88,88,90
2021-07-11,298,108,108,108
2021-07-16,197,291,197,291
2021-07-18,291,150,291,150
2021-07-18,208,197,208,208
2021-11-19,213,200,200,-1
2021-12-11,149,4,4,4
2021-12-18,180,65,180,180
2022-01-23,37,79,37,79
2022-01-26,109,65,65,109
2022-01-26,135,67,67,67
2022-02-03,40,65,65,40
2022-02-05,40,37,40,40
2022-02-06,197,65,197,197
2022-03-25,222,236,236,-1
2022-03-29,114,144,114,144
2022-03-29,197,65,197,197
2022-06-13,14,174,14,14
2022-06-14,46,83,83,46
2022-07-12,251,30,251,-1
2022-07-13,208,150,150,-1
2022-07-13,197,291,197,-1
2022-07-17,150,197,197,-1
2022-09-22,224,133,133,-1
2022-09-23,104,167,167,-1
2022-09-25,133,222,222,-1
2022-11-16,127,100,100,127
2022-11-16,121,69,121,121
2022-11-19,121,100,100,100
2022-12-05,111,54,54,111
2022-12-06,149,212,149,149
2022-12-09,54,32,54,54
2022-12-09,155,11,11,155
2022-12-18,11,75,11,75
2023-06-16,314,188,188,188
2023-06-17,94,87,94,94
2023-06-17,215,179,179,215
2023-06-18,54,212,212,54
2023-06-20,188,76,188,76
2023-07-01,101,122,101,101
2023-07-04,101,118,101,101
2023-07-09,240,41,240,41
2023-07-09,277,86,86,-1
2023-07-12,240,171,171,240
2023-07-13,2,71,2,2
2023-07-14,132,123,123,-1
2023-07-16,208,132,208,-1
2023-09-07,104,101,104,101
2023-09-10,224,104,104,224
2023-10-13,104,180,180,180
2023-11-21,142,97,142,142
2023-12-02,206,157,157,-1
2024-01-28,65,59,59,65
2024-01-28,222,238,222,222
2024-01-29,109,197,109,197
2024-01-30,196,210,210,196
2024-01-31,103,220,103,103
2024-02-03,42,208,208,42
2024-02-03,180,243,180,243
2024-02-07,161,208,161,161
2024-03-23,230,54,54,54
2024-03-26,158,230,230,158
2024-03-26,281,177,177,177
2024-03-26,81,85,81,81
2024-03-26,233,8,8,233
2024-03-26,34,283,34,34
2024-06-11,127,69,69,127
2024-07-01,178,205,178,205
2024-07-04,11,64,11,11
2024-07-05,178,75,75,75
2024-07-05,246,41,41,246
2024-07-06,298,219,298,298
2024-07-06,242,32,242,242
2024-07-13,41,242,242,41
2024-09-08,222,175,222,-1
